         time                    bomegax                  bomegay                  bomegaz                    bix                      biy                      biz                      bjx                      bjy                      bjz                      bkx                      bky                      bkz
 0.000000000000000e+00    3.114715892931314e+02    0.000000000000000e+00    4.100601265795637e+01    1.305261922200517e-01    0.000000000000000e+00   -9.914448613738104e-01   -0.000000000000000e+00    1.000000000000000e+00    0.000000000000000e+00    9.914448613738104e-01    0.000000000000000e+00    1.305261922200517e-01
 1.000000000000000e-02    3.114905358479124e+02    1.002737094941909e-01    4.086183015573098e+01   -1.300526876494235e-01    2.940080899224706e-09    9.915070844099638e-01    1.524937113681031e-05   -9.999999998817151e-01    2.003174573998474e-06    9.915070842927021e-01    1.538037775180500e-05    1.300526876339964e-01
 2.000000000000000e-02    3.115467837227076e+02    2.286083737388264e-01    4.043055456299173e+01    1.286363519052963e-01   -9.360627400024218e-08   -9.916918316535940e-01   -1.218426198700322e-04    9.999999924507846e-01   -1.589908870487482e-05    9.916918241686137e-01    1.228755316421211e-04    1.286363509227912e-01
 3.000000000000000e-02    3.116385650233759e+02    4.128098873049126e-01    3.971599275005215e+01   -1.262896951928128e-01    7.057539793660708e-07    9.919934036512383e-01    4.103618533516693e-04   -9.999999143994770e-01    5.295421028305314e-05    9.919933187734978e-01    4.137638227105922e-04    1.262896840927391e-01
 4.000000000000000e-02    3.117629581230352e+02    6.801755081186324e-01    3.872445990387450e+01    1.230334882775855e-01   -2.944499215750285e-06   -9.924025195219549e-01   -9.698656475193492e-04    9.999995220902500e-01   -1.232065106409521e-04    9.924020456059517e-01    9.776556389789446e-04    1.230334266229202e-01
 5.000000000000000e-02    3.119159247749982e+02    1.057243273976639e+00    3.746473504810440e+01   -1.188966411221050e-01    8.871089749810587e-06    9.929066364221343e-01    1.887127646841924e-03   -9.999981917814778e-01    2.349105179967202e-04    9.929048431139467e-01    1.901671635878931e-03    1.188964093901253e-01
 6.000000000000000e-02    3.120923617021151e+02    1.569545970867047e+00    3.594799861508597e+01    1.139160291199192e-01   -2.172889906764579e-05   -9.934903813511853e-01   -3.245876541395126e-03    9.999946544902076e-01   -3.940512730384667e-04    9.934850792010090e-01    3.269635879224716e-03    1.139153496513568e-01
 7.000000000000001e-02    3.122861662833220e+02    2.241371282421627e+00    3.418775194421973e+01   -1.081362633955405e-01    4.609482867571051e-05    9.941360804306527e-01    5.126039396567937e-03   -9.999866793956248e-01    6.039464544594204e-04    9.941228657761403e-01    5.161289226713435e-03    1.081345866712591e-01
 8.000000000000000e-02    3.124903158357652e+02    3.095529836775072e+00    3.219971858747509e+01    1.016094010787878e-01   -8.794338737475385e-05   -9.948243673524798e-01   -7.602991514463542e-03    9.999707227596165e-01   -8.649529053207671e-04    9.947953177073410e-01    7.651528570035334e-03    1.016057576031119e-01
 9.000000000000001e-02    3.126969598592174e+02    4.153132964720314e+00    3.000172733914933e+01   -9.439459121618315e-02    1.546143786817873e-04    9.955348498387203e-01    1.074681739450998e-02   -9.999415617716791e-01    1.174290160018797e-03    9.954768541081328e-01    1.080967788071221e-02    9.438741335102604e-02
 1.000000000000000e-01    3.128975244680237e+02    5.433382084371613e+00    2.761357697763609e+01    8.655765209237667e-02   -2.546792475564977e-04   -9.962468107866667e-01   -1.462158886171375e-02    9.998919344085179e-01   -1.525989454384112e-03    9.961395394237799e-01    1.469879733640870e-02    8.654457437326939e-02
