         time                     bimag                    bjmag                    bkmag                    bibj                     bkbi                     bjbk                     epum
 0.000000000000000e+00    1.000000000000000e+00    1.000000000000000e+00    1.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    1.543404844353969e+03
 1.000000000000000e-02    9.999999999999928e-01    9.999999999999930e-01    9.999999999999986e-01   -7.752037062941884e-16   -6.383782391594650e-16    3.189279157946230e-16    1.543404844353968e+03
 2.000000000000000e-02    9.999999999999860e-01    9.999999999999872e-01    1.000000000000000e+00   -5.980188132886921e-16   -2.775557561562891e-16    1.191313723830547e-16    1.543404844353975e+03
 3.000000000000000e-02    9.999999999999801e-01    9.999999999999801e-01    1.000000000000002e+00   -1.143921383398722e-15   -4.163336342344337e-16    2.004554291654137e-16    1.543404844353974e+03
 4.000000000000000e-02    9.999999999999725e-01    9.999999999999735e-01    1.000000000000002e+00   -1.860707768419623e-15   -1.387778780781446e-16    2.299474223229139e-16    1.543404844353969e+03
 5.000000000000000e-02    9.999999999999656e-01    9.999999999999660e-01    1.000000000000003e+00   -2.803719712993202e-15   -7.771561172376096e-16    3.003477187010078e-16    1.543404844353970e+03
 6.000000000000000e-02    9.999999999999594e-01    9.999999999999587e-01    1.000000000000004e+00   -1.926681470615366e-15   -6.938893903907228e-16    7.332391529883686e-16    1.543404844353977e+03
 7.000000000000001e-02    9.999999999999520e-01    9.999999999999515e-01    1.000000000000006e+00   -1.643867333922522e-15   -1.346145417358002e-15    4.759783062482925e-16    1.543404844353985e+03
 8.000000000000000e-02    9.999999999999455e-01    9.999999999999436e-01    1.000000000000005e+00   -1.386044057305469e-15   -9.020562075079397e-16    9.818534874028728e-16    1.543404844353978e+03
 9.000000000000001e-02    9.999999999999398e-01    9.999999999999378e-01    1.000000000000003e+00    2.400423609882907e-16   -9.853229343548264e-16    9.462645510910361e-16    1.543404844353978e+03
 1.000000000000000e-01    9.999999999999342e-01    9.999999999999318e-01    1.000000000000004e+00    1.295838436554675e-15   -8.604228440844963e-16    1.284318788472016e-15    1.543404844353980e+03
 1.100000000000000e-01    9.999999999999267e-01    9.999999999999234e-01    1.000000000000004e+00    1.462588730682945e-15   -8.465450562766819e-16    1.021941862730524e-15    1.543404844353979e+03
 1.200000000000000e-01    9.999999999999173e-01    9.999999999999163e-01    1.000000000000004e+00    7.593752016088473e-16   -6.522560269672795e-16    1.607736296524442e-15    1.543404844353982e+03
 1.300000000000000e-01    9.999999999999107e-01    9.999999999999110e-01    1.000000000000003e+00   -8.192231615300472e-16   -9.298117831235686e-16    1.202569944666609e-15    1.543404844353965e+03
 1.400000000000000e-01    9.999999999999035e-01    9.999999999999042e-01    1.000000000000002e+00    4.384513585531380e-16   -8.951173136040325e-16    1.582230440416721e-15    1.543404844353967e+03
 1.500000000000000e-01    9.999999999998960e-01    9.999999999998983e-01    1.000000000000002e+00    1.012211148232467e-15   -9.159339953157541e-16    1.324759529505726e-15    1.543404844353974e+03
 1.600000000000000e-01    9.999999999998892e-01    9.999999999998918e-01    1.000000000000004e+00    5.607493636095029e-16   -6.002143226879753e-16    1.758697896515893e-15    1.543404844353985e+03
 1.700000000000000e-01    9.999999999998814e-01    9.999999999998845e-01    1.000000000000003e+00   -2.046973701652632e-16   -8.049116928532385e-16    1.368059853769366e-15    1.543404844353984e+03
 1.800000000000000e-01    9.999999999998755e-01    9.999999999998790e-01    1.000000000000005e+00    8.682290997263920e-16   -8.361367154208210e-16    2.015477628541928e-15    1.543404844353988e+03
 1.900000000000000e-01    9.999999999998664e-01    9.999999999998717e-01    1.000000000000007e+00    1.961104889591780e-15   -1.002670169114595e-15    1.710818512139396e-15    1.543404844353992e+03
 2.000000000000000e-01    9.999999999998610e-01    9.999999999998666e-01    1.000000000000007e+00    7.580741590018647e-16   -1.321859288694327e-15    2.067065323161504e-15    1.543404844353992e+03
 2.100000000000000e-01    9.999999999998559e-01    9.999999999998596e-01    1.000000000000007e+00   -8.933825901280557e-17   -9.506284648352903e-16    1.637592513849262e-15    1.543404844353996e+03
 2.200000000000000e-01    9.999999999998515e-01    9.999999999998523e-01    1.000000000000006e+00    1.520918807562666e-15   -1.412064909445121e-15    1.783526126265811e-15    1.543404844353992e+03
 2.300000000000000e-01    9.999999999998441e-01    9.999999999998451e-01    1.000000000000007e+00    1.645385216964002e-15   -1.325328735646281e-15    1.643474310634996e-15    1.543404844353991e+03
 2.400000000000000e-01    9.999999999998368e-01    9.999999999998386e-01    1.000000000000006e+00    1.786765180256111e-16   -1.783295733304158e-15    1.639516972705424e-15    1.543404844353990e+03
 2.500000000000000e-01    9.999999999998316e-01    9.999999999998319e-01    1.000000000000005e+00    5.043708506402567e-16   -1.422473250300982e-15    1.251087991885336e-15    1.543404844353987e+03
 2.600000000000000e-01    9.999999999998245e-01    9.999999999998250e-01    1.000000000000004e+00   -1.534146074066989e-16   -1.179611963664229e-15    1.122637139500116e-15    1.543404844353985e+03
 2.700000000000000e-01    9.999999999998179e-01    9.999999999998194e-01    1.000000000000005e+00    5.880306007746694e-16   -6.869504964868156e-16    1.104687664314850e-15    1.543404844353993e+03
 2.800000000000000e-01    9.999999999998133e-01    9.999999999998131e-01    1.000000000000005e+00   -4.466912950640278e-16   -9.436895709313831e-16    1.692941034754647e-15    1.543404844353984e+03
 2.900000000000000e-01    9.999999999998053e-01    9.999999999998059e-01    1.000000000000004e+00   -1.023920531695310e-15   -1.137978600240785e-15    1.105886215935215e-15    1.543404844353980e+03
 3.000000000000000e-01    9.999999999997979e-01    9.999999999997986e-01    1.000000000000005e+00   -1.052109788179934e-15   -1.582067810090848e-15    3.266159044612582e-16    1.543404844353981e+03
 3.100000000000000e-01    9.999999999997909e-01    9.999999999997913e-01    1.000000000000006e+00    2.975050761300224e-16   -1.554312234475219e-15    2.151599211297484e-16    1.543404844353986e+03
 3.200000000000000e-01    9.999999999997843e-01    9.999999999997864e-01    1.000000000000006e+00    1.056446596869876e-15   -1.595945597898663e-15   -2.432949675057472e-16    1.543404844353990e+03
