         time                     bimag                    bjmag                    bkmag                    bibj                     bkbi                     bjbk                     epum
 0.000000000000000e+00    1.000000000000000e+00    1.000000000000000e+00    1.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    0.000000000000000e+00    1.543404844353969e+03
 1.000000000000000e-02    9.999999999999937e-01    9.999999999999927e-01    9.999999999999981e-01   -1.627417107053896e-15   -6.661338147750939e-16   -1.399201178893848e-15    1.543404844353969e+03
 2.000000000000000e-02    9.999999999999878e-01    9.999999999999863e-01    9.999999999999997e-01   -1.770783362607317e-15    3.608224830031759e-15    2.638234886088130e-15    1.543404844353969e+03
 3.000000000000000e-02    9.999999999999815e-01    9.999999999999821e-01    1.000000000000000e+00   -1.626099970820916e-15   -8.049116928532385e-15   -4.486847871053908e-15    1.543404844353969e+03
 4.000000000000000e-02    9.999999999999742e-01    9.999999999999746e-01    1.000000000000000e+00   -2.095220698328237e-17    1.425248807862545e-14    6.611495341002707e-15    1.543404844353969e+03
 5.000000000000000e-02    9.999999999999682e-01    9.999999999999681e-01    1.000000000000002e+00   -2.395002599020479e-16   -2.207956040223280e-14   -9.487995512955788e-15    1.543404844353969e+03
 6.000000000000000e-02    9.999999999999600e-01    9.999999999999614e-01    1.000000000000004e+00    4.727121472036799e-16    3.171074514085603e-14    1.314864151802722e-14    1.543404844353968e+03
 7.000000000000001e-02    9.999999999999515e-01    9.999999999999531e-01    1.000000000000005e+00    1.555938537733947e-15   -4.250766405533568e-14   -1.766990687882691e-14    1.543404844353968e+03
 8.000000000000000e-02    9.999999999999445e-01    9.999999999999470e-01    1.000000000000005e+00    1.862984592981842e-15    5.444256157005611e-14    2.349275017143188e-14    1.543404844353968e+03
 9.000000000000001e-02    9.999999999999372e-01    9.999999999999399e-01    1.000000000000007e+00    1.645818897832996e-15   -6.701583732393601e-14   -3.042980093164588e-14    1.543404844353968e+03
 1.000000000000000e-01    9.999999999999313e-01    9.999999999999312e-01    1.000000000000007e+00    2.335154639099279e-15    8.065770273901762e-14    3.849885362762484e-14    1.543404844353968e+03
 1.100000000000000e-01    9.999999999999234e-01    9.999999999999239e-01    1.000000000000008e+00    2.037432722534760e-15   -9.549305790557128e-14   -4.810534566176972e-14    1.543404844353968e+03
 1.200000000000000e-01    9.999999999999154e-01    9.999999999999174e-01    1.000000000000009e+00    8.452440136696993e-16    1.104533131623953e-13    5.907207774151491e-14    1.543404844353968e+03
 1.300000000000000e-01    9.999999999999087e-01    9.999999999999097e-01    1.000000000000010e+00   -1.717809922086033e-15   -1.258576576290693e-13   -7.152140208202540e-14    1.543404844353968e+03
 1.400000000000000e-01    9.999999999998985e-01    9.999999999999009e-01    1.000000000000011e+00   -2.968979229134305e-15    1.420114026373653e-13    8.525206365503357e-14    1.543404844353967e+03
 1.500000000000000e-01    9.999999999998916e-01    9.999999999998939e-01    1.000000000000015e+00   -6.095818294582500e-15   -1.581096364944301e-13   -1.003089213254260e-13    1.543404844353967e+03
 1.600000000000000e-01    9.999999999998820e-01    9.999999999998860e-01    1.000000000000017e+00   -8.206976764846274e-15    1.743188926539574e-13    1.166982770183303e-13    1.543404844353967e+03
 1.700000000000000e-01    9.999999999998753e-01    9.999999999998778e-01    1.000000000000020e+00   -1.136417349112406e-14   -1.901118151792502e-13   -1.346824670019064e-13    1.543404844353967e+03
 1.800000000000000e-01    9.999999999998662e-01    9.999999999998695e-01    1.000000000000022e+00   -1.481540584657992e-14    2.056514680770505e-13    1.539313923722141e-13    1.543404844353967e+03
 1.900000000000000e-01    9.999999999998584e-01    9.999999999998607e-01    1.000000000000026e+00   -1.819724926299671e-14   -2.207019289546253e-13   -1.742462748253234e-13    1.543404844353966e+03
 2.000000000000000e-01    9.999999999998493e-01    9.999999999998532e-01    1.000000000000032e+00   -2.115061598084722e-14    2.351313588278003e-13    1.957430663954499e-13    1.543404844353966e+03
 2.100000000000000e-01    9.999999999998385e-01    9.999999999998431e-01    1.000000000000038e+00   -2.533650372837926e-14   -2.485962824483323e-13   -2.180256436544806e-13    1.543404844353966e+03
 2.200000000000000e-01    9.999999999998290e-01    9.999999999998321e-01    1.000000000000043e+00   -3.061483358490769e-14    2.611591498613564e-13    2.409765095801042e-13    1.543404844353966e+03
 2.300000000000000e-01    9.999999999998209e-01    9.999999999998221e-01    1.000000000000049e+00   -3.477686888464504e-14   -2.723030134710314e-13   -2.650620743943968e-13    1.543404844353965e+03
 2.400000000000000e-01    9.999999999998107e-01    9.999999999998105e-01    1.000000000000053e+00   -4.045201673630316e-14    2.826697209634688e-13    2.905538900839846e-13    1.543404844353965e+03
 2.500000000000000e-01    9.999999999998012e-01    9.999999999997965e-01    1.000000000000060e+00   -4.779857065706494e-14   -2.913225216616411e-13   -3.150160254178358e-13    1.543404844353965e+03
 2.600000000000000e-01    9.999999999997936e-01    9.999999999997844e-01    1.000000000000067e+00   -5.474743922095904e-14    2.990871439401133e-13    3.404731263091133e-13    1.543404844353965e+03
 2.700000000000000e-01    9.999999999997854e-01    9.999999999997713e-01    1.000000000000076e+00   -6.311734446727557e-14   -3.044786645034492e-13   -3.651187001802196e-13    1.543404844353965e+03
 2.800000000000000e-01    9.999999999997788e-01    9.999999999997573e-01    1.000000000000085e+00   -7.157122117185111e-14    3.090305789044123e-13    3.906278241410516e-13    1.543404844353965e+03
 2.900000000000000e-01    9.999999999997704e-01    9.999999999997425e-01    1.000000000000094e+00   -7.976518751062756e-14   -3.122502256758253e-13   -4.151706918791714e-13    1.543404844353965e+03
